exp_method_id,exp_method_code,exp_method_translation,exp_method_desc,reference_id,exp_category
201,1000deg,Heated to 1000degC,Heated to 1000degC,NULL,LOI
152,1050deg,Heated to 1050degC,Heated to 1050degC,NULL,LOI
200,500deg,Heated to 500degC,Heated to 500degC,NULL,carbon
151,550deg,Heated to 550degC,Heated to 550degC,NULL,LOI
113,900deg,Heated to 900degC,Heated to 900degC,NULL,LOI
189,950deg,Heated to 950degC,Heated to 950degC,NULL,LOI
15,AR,Aqua regia (3:1 HCl:HNO3),Aqua regia digest (3:1 HCl:HNO3).,NULL,element
364,AR_AE,"Aqua regia digest, anion exchange chromatography (AGMP1)","Aqua regia digest, anion exchange chromatography with AGMP1 resin. See Hou et al. 2017 10.1016/j.precamres.2017.06.019 and refs therein",NULL,NULL
365,AR_BPHA,"Aqua regia, BHPA resin chromatography","Dissolved in aqua regia at 120degC for 12h, purification using N-benzoyl-N-phenyl hydroxylamine (BPHA) chromatographic resin",NULL,NULL
330,AR_IE(TRUresin),"Aqua regia, ion exchange chromatography (TRU resin)","Aqua regia digest, ion exchange chromatography with Eichrom TRU resin. See Dang et al. 2016, 2018.",NULL,metal_isotope
123,AR_part,Partial digestion with aqua regia (CMIBS method),Partial digestion with aqua regia (originally a CMIBS method),NULL,element
270,ARrev_AE,"Reverse aqua regia digest, anion exchange chromatography (AG1X8) (see Pearce et al. 2009)","Digest with reverse aqua regia (1:3 HCl:HNO3), followed by anion exchange chromatography with AG 1-X8 resin. See Pearce et al. 2009.",NULL,metal_isotope
157,AVS/CRS,AVS and CRS sequential extraction,NULL,NULL,iron_sulfur
367,AVS_Acid,"AVS by purge and trap, no details provided","AVS by purge and trap, no details provided",NULL,NULL
154,AVS_HCl(6N),6N HCl distillation for acid volatile sulfur,"6M HCl distillation to extract acid volatile sulfur such as pyrrhotite, sphalerite, mackinawite, greigite",NULL,iron_sulfur
18,AVS_HCl(6N/hot)_SnCl2,Hot 6N HCl acid-volatile sulfur extraction (Rice et al. 1993),Hot 6N HCl and SnCl2 method of Rice et al. (1993),22,iron_sulfur
202,AcOH,Acetic acid,Acetic acid (CH3COOH) digestion,NULL,element
250,AcOH(0.1N)_AIC,"0.1N acetic acid, automated ion chromatography","0.1N acetic acid (CH3COOH), followed by automated ion chromatography",NULL,metal_isotope
246,AcOH(0.5M)_AE/IE,"0.5N acetic acid, anion exchange (AG1X8 resin) ion exchange chromatography (UTEVA resin)","0.5N acetic acid, oxidation steps, followed by anion exchange with AG1X8 Resin, ion exchange chromatography with UTEVA resin for uranium isotopes.",NULL,metal_isotope
178,AcOH(0.85N),0.85N acetic acid ,0.85N acetic acid/5% acetic acid. See e.g. Rongemaille et al. (2011),NULL,element
345,AcOH(1N),1N acetic acid,NULL,NULL,NULL
316,AcOH(dil)_AIC,"Dilute acetic acid (no strength specified),  automated ion chromatography","Dilute acetic acid (CH3COOH), followed by automated ion chromatography",NULL,metal_isotope
64,Acid,"Acidification/acid treatment, details not provided","Acidification/acid digestion, no details provided (likely HCl in many cases)",NULL,element
244,Acid_CB,Acidified before Dumas combustion technique,Acidified before Dumas combustion technique,NULL,carbon
19,CB,Combustion/ashing,Combustion/ashing,NULL,NULL
278,CB_AcOH_MA2_AR/HCl_AE/2CE,"Ash, AcOH decarb, HF/HNO3, aqua regia, HCl, chrom. (anion AG1X8,  cation TRU, cation LN)","Combustion/ashed, leached in acetic acid to remove carbonates, spiked with an enriched 150Nd-149Sm tracer, digested to dissolve silicates: HF+HNO3, AR, HCl. three-stage chromatography: AE for iron, CE for REE, Sm and Nd Eichrom LN Resin",NULL,metal_isotope
140,CB_HCl(12N/48h/hot),"Combustion/ashing, hot 12N HCl for 48h (mod. of Aller et al. 1986)","Combustion/ashed, cooled, hot 12M HCl for 48hrs. Modification of Aller et al. 1986 method - digest in stronger acid at higher temperature, see e.g. LeRoy and Gill 2019",10,iron_sulfur
21,CB_HCl(12N/hot),"Combustion/ashing, hot 12M HCl for an unknown time (mod. of Aller et al. 1986)","Combustion/ashed, cooled, hot 12M HCl, no time provided. Modification of Aller et al. 1986 method.",10,iron_sulfur
46,CB_HCl(1N),"Combustion/ashing, 1N HCl","Combustion/ashed, 1N HCl digest",NULL,element
32,CB_HCl(6N/24h/hot),"Combustion/ashing, hot 6M HCl for 24h (mod. of Aller et al. 1986)","Combustion/ashed, cooled, hot 6M HCl for 24hrs. Some variability in temperature and time of ashing. Aller et al. 1986 original method: leaching 1-2 g of ashed sediment (450°C) for 24 h in near-boiling 6 N HCI.",10,iron_sulfur
8,CB_HCl(6N/48h/hot),"Combustion/ashing, hot 6M HCl for 48h (mod. of Aller et al. 1986)","Combustion/ashed, cooled, near-boiling 6M HCl for 48hrs. Modification of Aller et al. 1986 - 48hr in conc. HCl instead of 24hr. Variability in temperature and time of ashing. Assumed 6N in at least one case.",10,iron_sulfur
218,CB_HCl(conc/boil)_AE,"Combustion/ashing, concentrated boiling HCl (3 times), anion exchange chromatography (AG1-X8 resin)","Combustion/ashed, leached three times in boiling concentrated HCl, double-spike, redissolved in HCl + H2O2. Anion exchange AG1-X8 resin. See Le Boudec et al. 2014 and refs therein.",NULL,metal_isotope
132,CB_MA2,"Combustion/ashing, HNO3/HF",Combustion/ashed followed by HNO3/HF digestion,NULL,element
261,CB_MA2_3CE(CeDop),"Combustion/ashing, HF/HNO3, AR, HCl, cation exchange chromatography with ce-doping","Combustion/ashed (for organic-rich samples), HF/HNO3, treated with AR and HCl to remove fluorides, cation exchange (3 columns, first run twice), Ce-doping method. Standard method see e.g. Nan et al., 2015.",NULL,metal_isotope
260,CB_MA2_3CE(DS),"Combustion/ashing, HF/HNO3, AR, HCl, cation exchange chromatography with double-spike","Combustion/ashed (for organic-rich samples), HF/HNO3, treated with AR an HCl to remove fluorides, cation exchange (3 columns, first run twice), double spike method. Standard method see e.g. Nan et al., 2015.",NULL,metal_isotope
